diagnosisId,itemType,sectionId,sectionTitle,itemId,itemText,scaleMin,scaleMax,scoreDirection,weight,notes
leadership,rating,time_mgmt,시간관리,Q01,나는 시간 사용의 우선순위와 내용의 적절성을 매일 되짚어본다.,1,5,higher_is_better,1,
leadership,rating,time_mgmt,시간관리,Q02,나는 시간 사용을 피드백하고 일정을 상시 효율화한다.,1,5,higher_is_better,1,
leadership,rating,time_mgmt,시간관리,Q03,나는 비효율적인 시간 사용 요소를 꾸준히 제거한다.,1,5,higher_is_better,1,
leadership,rating,time_mgmt,시간관리,Q04,나는 한 가지 과업에 집중하기 위한 시간을 연속성 있게 확보할 수 있다.,1,5,higher_is_better,1,
leadership,rating,contribution,공헌집중,Q05,나는 조직의 성과를 위해 내가 기여해야 할 일이 무엇인지 안다.,1,5,higher_is_better,1,
leadership,rating,contribution,공헌집중,Q06,나는 성과와 직접적인 결과가 고객 가치 창출과 인재 양성임을 안다.,1,5,higher_is_better,1,
leadership,rating,contribution,공헌집중,Q07,나는 나의 성과 창출에 필요한 요소를 언제나 확보할 수 있다.,1,5,higher_is_better,1,
leadership,rating,contribution,공헌집중,Q08,나는 내 과업을 중심으로 사내 외의 사람들과 인간관계를 맺고 있다.,1,5,higher_is_better,1,
leadership,rating,strengths,강점활용,Q09,나는 나의 강점과 재능이 무엇인지 정확히 알고 있다.,1,5,higher_is_better,1,
leadership,rating,strengths,강점활용,Q10,나는 조직 구성원의 강점과 스타일을 정확히 파악하고 있다.,1,5,higher_is_better,1,
leadership,rating,strengths,강점활용,Q11,나는 과업을 수행할 때 나의 강점을 충분히 활용하고 있다.,1,5,higher_is_better,1,
leadership,rating,strengths,강점활용,Q12,나는 정기적으로 나의 성과와 업무를 되짚어본다.,1,5,higher_is_better,1,
leadership,rating,priority,우선순위,Q13,나는 일의 우선순위를 명확히 말할 수 있다.,1,5,higher_is_better,1,
leadership,rating,priority,우선순위,Q14,나는 내가 하는 일에 몰입하고 있다.,1,5,higher_is_better,1,
leadership,rating,priority,우선순위,Q15,나는 과거의 성공 및 실패 경험에서 지식을 발견하고 적용한다.,1,5,higher_is_better,1,
leadership,rating,priority,우선순위,Q16,나는 과거의 문제보다는 늘 미래의 기회에 초점을 맞춘다.,1,5,higher_is_better,1,
leadership,rating,decision,의사결정,Q17,나는 피상적인 문제 해결이 아닌 문제의 원인 탐색과 해결에 집중한다.,1,5,higher_is_better,1,
leadership,rating,decision,의사결정,Q18,나는 문제보다 기회에 초점을 맞춘다.,1,5,higher_is_better,1,
leadership,rating,decision,의사결정,Q19,나는 결정된 사항을 정확히 실행하고 꼼꼼히 결과를 확인한다.,1,5,higher_is_better,1,
leadership,rating,decision,의사결정,Q20,나는 반대 의견을 듣고 충분히 검토한 후 의사결정을 한다.,1,5,higher_is_better,1,
leadership,rating,core_values,핵심가치,Q21,나는 고객가치가 시장 경쟁력임을 안다.,1,5,higher_is_better,1,
leadership,rating,core_values,핵심가치,Q22,고객의 피드백을 직접 듣는 개별 창구가 있다.,1,5,higher_is_better,1,
leadership,rating,core_values,핵심가치,Q23,의사결정은 항상 고객을 중심으로 이뤄진다.,1,5,higher_is_better,1,
leadership,rating,core_values,핵심가치,Q24,우리가 창출하는 고객가치의 차별성을 안다.,1,5,higher_is_better,1,
